Run,Sample.Name,Subline,Treatment,BioProject,BioSample,Center.Name,Experiment,Cell.Line,Organism,SRA.Study
SRR3576768,MDA468_Ctrl_Rep1,MDA-MB-468,control,PRJNA322427,SAMN05162532,Queensland University of Technology,SRX1795064,MDA-MB-468,Homo sapiens,SRP075592
SRR3576770,MDA468_Ctrl_Rep2,MDA-MB-468,control,PRJNA322427,SAMN05162533,Queensland University of Technology,SRX1795066,MDA-MB-468,Homo sapiens,SRP075592
SRR3576771,PMC42ET_Ctrl_Rep2,PMC42-ET,control,PRJNA322427,SAMN05162542,Queensland University of Technology,SRX1795067,PMC42-ET,Homo sapiens,SRP075592
SRR3576772,PMC42ET_Ctrl_Rep3,PMC42-ET,control,PRJNA322427,SAMN05162543,Queensland University of Technology,SRX1795068,PMC42-ET,Homo sapiens,SRP075592
SRR3576773,PMC42ET_EGF_Rep1,PMC42-ET,EGF - 3d,PRJNA322427,SAMN05162544,Queensland University of Technology,SRX1795069,PMC42-ET,Homo sapiens,SRP075592
SRR3576775,PMC42ET_EGF_Rep2,PMC42-ET,EGF - 3d,PRJNA322427,SAMN05162545,Queensland University of Technology,SRX1795070,PMC42-ET,Homo sapiens,SRP075592
SRR3576776,PMC42ET_EGF_Rep3,PMC42-ET,EGF - 3d,PRJNA322427,SAMN05162546,Queensland University of Technology,SRX1795071,PMC42-ET,Homo sapiens,SRP075592
SRR3576777,PMC42LA_Ctrl_Rep1,PMC42-LA,control,PRJNA322427,SAMN05162547,Queensland University of Technology,SRX1795072,PMC42-LA,Homo sapiens,SRP075592
SRR3576779,PMC42LA_Ctrl_Rep2,PMC42-LA,control,PRJNA322427,SAMN05162548,Queensland University of Technology,SRX1795073,PMC42-LA,Homo sapiens,SRP075592
SRR3576781,PMC42LA_Ctrl_Rep3,PMC42-LA,control,PRJNA322427,SAMN05162549,Queensland University of Technology,SRX1795074,PMC42-LA,Homo sapiens,SRP075592
SRR3576782,PMC42LA_EGF_Rep1,PMC42-LA,EGF - 3d,PRJNA322427,SAMN05162550,Queensland University of Technology,SRX1795075,PMC42-LA,Homo sapiens,SRP075592
SRR3576783,PMC42LA_EGF_Rep2,PMC42-LA,EGF - 3d,PRJNA322427,SAMN05162551,Queensland University of Technology,SRX1795076,PMC42-LA,Homo sapiens,SRP075592
SRR3576784,MDA468_Ctrl_Rep3,MDA-MB-468,control,PRJNA322427,SAMN05162534,Queensland University of Technology,SRX1795078,MDA-MB-468,Homo sapiens,SRP075592
SRR3576785,PMC42LA_EGF_Rep3,PMC42-LA,EGF - 3d,PRJNA322427,SAMN05162552,Queensland University of Technology,SRX1795079,PMC42-LA,Homo sapiens,SRP075592
SRR3576786,MDA468_EGF_Rep1,MDA-MB-468,EGF - 7d,PRJNA322427,SAMN05162535,Queensland University of Technology,SRX1795080,MDA-MB-468,Homo sapiens,SRP075592
SRR3576788,MDA468_EGF_Rep2,MDA-MB-468,EGF - 7d,PRJNA322427,SAMN05162536,Queensland University of Technology,SRX1795081,MDA-MB-468,Homo sapiens,SRP075592
SRR3576790,MDA468_EGF_Rep3,MDA-MB-468,EGF - 7d,PRJNA322427,SAMN05162537,Queensland University of Technology,SRX1795082,MDA-MB-468,Homo sapiens,SRP075592
SRR3576791,MDA468_HPX_Rep1,MDA-MB-468,Hypoxia - 7d,PRJNA322427,SAMN05162538,Queensland University of Technology,SRX1795083,MDA-MB-468,Homo sapiens,SRP075592
SRR3576792,MDA468_HPX_Rep2,MDA-MB-468,Hypoxia - 7d,PRJNA322427,SAMN05162539,Queensland University of Technology,SRX1795084,MDA-MB-468,Homo sapiens,SRP075592
SRR3576793,MDA468_HPX_Rep3,MDA-MB-468,Hypoxia - 7d,PRJNA322427,SAMN05162540,Queensland University of Technology,SRX1795086,MDA-MB-468,Homo sapiens,SRP075592
SRR3576795,PMC42ET_Ctrl_Rep1,PMC42-ET,control,PRJNA322427,SAMN05162541,Queensland University of Technology,SRX1795087,PMC42-ET,Homo sapiens,SRP075592
SRR3591405,MDA468_Ctrl_Rep1,MDA-MB-468,control,PRJNA322427,SAMN05162532,Queensland University of Technology,SRX1802009,MDA-MB-468,Homo sapiens,SRP075592
SRR3591406,MDA468_Ctrl_Rep2,MDA-MB-468,control,PRJNA322427,SAMN05162533,Queensland University of Technology,SRX1802010,MDA-MB-468,Homo sapiens,SRP075592
SRR3591407,PMC42ET_Ctrl_Rep2,PMC42-ET,control,PRJNA322427,SAMN05162542,Queensland University of Technology,SRX1802011,PMC42-ET,Homo sapiens,SRP075592
SRR3591408,PMC42ET_Ctrl_Rep3,PMC42-ET,control,PRJNA322427,SAMN05162543,Queensland University of Technology,SRX1802012,PMC42-ET,Homo sapiens,SRP075592
SRR3591409,PMC42ET_EGF_Rep1,PMC42-ET,EGF - 3d,PRJNA322427,SAMN05162544,Queensland University of Technology,SRX1802013,PMC42-ET,Homo sapiens,SRP075592
SRR3591410,PMC42ET_EGF_Rep2,PMC42-ET,EGF - 3d,PRJNA322427,SAMN05162545,Queensland University of Technology,SRX1802014,PMC42-ET,Homo sapiens,SRP075592
SRR3591411,PMC42ET_EGF_Rep3,PMC42-ET,EGF - 3d,PRJNA322427,SAMN05162546,Queensland University of Technology,SRX1802015,PMC42-ET,Homo sapiens,SRP075592
SRR3591412,PMC42LA_Ctrl_Rep1,PMC42-LA,control,PRJNA322427,SAMN05162547,Queensland University of Technology,SRX1802016,PMC42-LA,Homo sapiens,SRP075592
SRR3591413,PMC42LA_Ctrl_Rep2,PMC42-LA,control,PRJNA322427,SAMN05162548,Queensland University of Technology,SRX1802017,PMC42-LA,Homo sapiens,SRP075592
SRR3591414,PMC42LA_Ctrl_Rep3,PMC42-LA,control,PRJNA322427,SAMN05162549,Queensland University of Technology,SRX1802018,PMC42-LA,Homo sapiens,SRP075592
SRR3591415,PMC42LA_EGF_Rep1,PMC42-LA,EGF - 3d,PRJNA322427,SAMN05162550,Queensland University of Technology,SRX1802019,PMC42-LA,Homo sapiens,SRP075592
SRR3591416,PMC42LA_EGF_Rep2,PMC42-LA,EGF - 3d,PRJNA322427,SAMN05162551,Queensland University of Technology,SRX1802020,PMC42-LA,Homo sapiens,SRP075592
SRR3591417,MDA468_Ctrl_Rep3,MDA-MB-468,control,PRJNA322427,SAMN05162534,Queensland University of Technology,SRX1802021,MDA-MB-468,Homo sapiens,SRP075592
SRR3591418,PMC42LA_EGF_Rep3,PMC42-LA,EGF - 3d,PRJNA322427,SAMN05162552,Queensland University of Technology,SRX1802022,PMC42-LA,Homo sapiens,SRP075592
SRR3591419,MDA468_EGF_Rep1,MDA-MB-468,EGF - 7d,PRJNA322427,SAMN05162535,Queensland University of Technology,SRX1802023,MDA-MB-468,Homo sapiens,SRP075592
SRR3591420,MDA468_EGF_Rep2,MDA-MB-468,EGF - 7d,PRJNA322427,SAMN05162536,Queensland University of Technology,SRX1802024,MDA-MB-468,Homo sapiens,SRP075592
SRR3591421,MDA468_EGF_Rep3,MDA-MB-468,EGF - 7d,PRJNA322427,SAMN05162537,Queensland University of Technology,SRX1802025,MDA-MB-468,Homo sapiens,SRP075592
SRR3591422,MDA468_HPX_Rep1,MDA-MB-468,Hypoxia - 7d,PRJNA322427,SAMN05162538,Queensland University of Technology,SRX1802026,MDA-MB-468,Homo sapiens,SRP075592
SRR3591423,MDA468_HPX_Rep2,MDA-MB-468,Hypoxia - 7d,PRJNA322427,SAMN05162539,Queensland University of Technology,SRX1802027,MDA-MB-468,Homo sapiens,SRP075592
SRR3591424,MDA468_HPX_Rep3,MDA-MB-468,Hypoxia - 7d,PRJNA322427,SAMN05162540,Queensland University of Technology,SRX1802028,MDA-MB-468,Homo sapiens,SRP075592
SRR3591425,PMC42ET_Ctrl_Rep1,PMC42-ET,control,PRJNA322427,SAMN05162541,Queensland University of Technology,SRX1802029,PMC42-ET,Homo sapiens,SRP075592
